"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 30 02:35:42 UTC 2023","Thu Nov 30 02:35:48 UTC 2023","6672","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Thu Nov 30 02:35:21 UTC 2023","Thu Nov 30 02:35:42 UTC 2023","20527","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Thu Nov 30 02:37:16 UTC 2023","Thu Nov 30 02:37:24 UTC 2023","8053","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Thu Nov 30 03:53:08 UTC 2023","Thu Nov 30 03:53:15 UTC 2023","7226","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Thu Nov 30 03:21:55 UTC 2023","Thu Nov 30 03:22:10 UTC 2023","14668","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Thu Nov 30 02:51:43 UTC 2023","Thu Nov 30 02:51:58 UTC 2023","15274","","6. Company Account","","","","1. Validate login credentials",""
"passed","Thu Nov 30 02:28:03 UTC 2023","Thu Nov 30 02:28:03 UTC 2023","25","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Thu Nov 30 03:54:20 UTC 2023","Thu Nov 30 03:54:24 UTC 2023","4167","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Thu Nov 30 03:24:24 UTC 2023","Thu Nov 30 03:24:26 UTC 2023","1363","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Thu Nov 30 02:49:16 UTC 2023","Thu Nov 30 02:49:20 UTC 2023","4301","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Thu Nov 30 02:45:01 UTC 2023","Thu Nov 30 02:45:04 UTC 2023","2989","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Thu Nov 30 02:41:08 UTC 2023","Thu Nov 30 02:41:21 UTC 2023","12569","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Thu Nov 30 03:36:36 UTC 2023","Thu Nov 30 03:36:46 UTC 2023","10235","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Thu Nov 30 03:29:51 UTC 2023","Thu Nov 30 03:29:53 UTC 2023","1684","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Thu Nov 30 03:57:00 UTC 2023","Thu Nov 30 03:58:21 UTC 2023","80202","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Thu Nov 30 02:31:46 UTC 2023","Thu Nov 30 02:32:51 UTC 2023","65548","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Thu Nov 30 03:30:20 UTC 2023","Thu Nov 30 03:30:22 UTC 2023","1648","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Thu Nov 30 03:18:46 UTC 2023","Thu Nov 30 03:18:46 UTC 2023","354","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Thu Nov 30 03:53:15 UTC 2023","Thu Nov 30 03:53:15 UTC 2023","23","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Thu Nov 30 03:47:31 UTC 2023","Thu Nov 30 03:47:35 UTC 2023","4363","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Thu Nov 30 02:28:26 UTC 2023","Thu Nov 30 02:28:51 UTC 2023","24959","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
